0,0.1539
0.0322,0.154
0.0644,0.1542
0.0966,0.1544
0.1923,0.1551
0.288,0.1558
0.3837,0.1566
0.9141,0.1608
1.4445,0.1651
1.975,0.1696
3.8264,0.1862
5.6778,0.2044
7.5293,0.2244
9.3807,0.2462
11.2633,0.2699
13.1459,0.2951
15.0284,0.3212
16.911,0.3477
18.8522,0.3742
19.6835,0.3852
20.3325,0.3931
20.9816,0.4005
21.6306,0.4074
22.8078,0.419
23.985,0.4296
25.1622,0.4391
26.3394,0.4478
29.2342,0.4657
32.129,0.4779
35.0238,0.4849
37.9186,0.4874
40.2215,0.4871
42.5244,0.4859
44.8273,0.4846
47.1302,0.4833
49.4331,0.482
58.7825,0.4773
68.132,0.473
77.4814,0.469
113.2758,0.4565
149.0703,0.4482
184.8647,0.443
220.6591,0.4401
270.6591,0.4382
320.6591,0.4374
370.6591,0.437
420.6591,0.4368
470.6591,0.4367
500,0.4367
